FIPS,STNAME,CTYNAME
13001,Georgia,Appling County
13003,Georgia,Atkinson County
13005,Georgia,Bacon County
13007,Georgia,Baker County
13009,Georgia,Baldwin County
13011,Georgia,Banks County
13013,Georgia,Barrow County
13015,Georgia,Bartow County
13017,Georgia,Ben Hill County
13019,Georgia,Berrien County
13021,Georgia,Bibb County
13023,Georgia,Bleckley County
13025,Georgia,Brantley County
13027,Georgia,Brooks County
13029,Georgia,Bryan County
13031,Georgia,Bulloch County
13033,Georgia,Burke County
13035,Georgia,Butts County
13037,Georgia,Calhoun County
13039,Georgia,Camden County
13043,Georgia,Candler County
13045,Georgia,Carroll County
13047,Georgia,Catoosa County
13049,Georgia,Charlton County
13051,Georgia,Chatham County
13053,Georgia,Chattahoochee County
13055,Georgia,Chattooga County
13057,Georgia,Cherokee County
13059,Georgia,Clarke County
13061,Georgia,Clay County
13063,Georgia,Clayton County
13065,Georgia,Clinch County
13067,Georgia,Cobb County
13069,Georgia,Coffee County
13071,Georgia,Colquitt County
13073,Georgia,Columbia County
13075,Georgia,Cook County
13077,Georgia,Coweta County
13079,Georgia,Crawford County
13081,Georgia,Crisp County
13083,Georgia,Dade County
13085,Georgia,Dawson County
13087,Georgia,Decatur County
13089,Georgia,DeKalb County
13091,Georgia,Dodge County
13093,Georgia,Dooly County
13095,Georgia,Dougherty County
13097,Georgia,Douglas County
13099,Georgia,Early County
13101,Georgia,Echols County
13103,Georgia,Effingham County
13105,Georgia,Elbert County
13107,Georgia,Emanuel County
13109,Georgia,Evans County
13111,Georgia,Fannin County
13113,Georgia,Fayette County
13115,Georgia,Floyd County
13117,Georgia,Forsyth County
13119,Georgia,Franklin County
13121,Georgia,Fulton County
13123,Georgia,Gilmer County
13125,Georgia,Glascock County
13127,Georgia,Glynn County
13129,Georgia,Gordon County
13131,Georgia,Grady County
13133,Georgia,Greene County
13135,Georgia,Gwinnett County
13137,Georgia,Habersham County
13139,Georgia,Hall County
13141,Georgia,Hancock County
13143,Georgia,Haralson County
13145,Georgia,Harris County
13147,Georgia,Hart County
13149,Georgia,Heard County
13151,Georgia,Henry County
13153,Georgia,Houston County
13155,Georgia,Irwin County
13157,Georgia,Jackson County
13159,Georgia,Jasper County
13161,Georgia,Jeff Davis County
13163,Georgia,Jefferson County
13165,Georgia,Jenkins County
13167,Georgia,Johnson County
13169,Georgia,Jones County
13171,Georgia,Lamar County
13173,Georgia,Lanier County
13175,Georgia,Laurens County
13177,Georgia,Lee County
13179,Georgia,Liberty County
13181,Georgia,Lincoln County
13183,Georgia,Long County
13185,Georgia,Lowndes County
13187,Georgia,Lumpkin County
13189,Georgia,McDuffie County
13191,Georgia,McIntosh County
13193,Georgia,Macon County
13195,Georgia,Madison County
13197,Georgia,Marion County
13199,Georgia,Meriwether County
13201,Georgia,Miller County
13205,Georgia,Mitchell County
13207,Georgia,Monroe County
13209,Georgia,Montgomery County
13211,Georgia,Morgan County
13213,Georgia,Murray County
13215,Georgia,Muscogee County
13217,Georgia,Newton County
13219,Georgia,Oconee County
13221,Georgia,Oglethorpe County
13223,Georgia,Paulding County
13225,Georgia,Peach County
13227,Georgia,Pickens County
13229,Georgia,Pierce County
13231,Georgia,Pike County
13233,Georgia,Polk County
13235,Georgia,Pulaski County
13237,Georgia,Putnam County
13239,Georgia,Quitman County
13241,Georgia,Rabun County
13243,Georgia,Randolph County
13245,Georgia,Richmond County
13247,Georgia,Rockdale County
13249,Georgia,Schley County
13251,Georgia,Screven County
13253,Georgia,Seminole County
13255,Georgia,Spalding County
13257,Georgia,Stephens County
13259,Georgia,Stewart County
13261,Georgia,Sumter County
13263,Georgia,Talbot County
13265,Georgia,Taliaferro County
13267,Georgia,Tattnall County
13269,Georgia,Taylor County
13271,Georgia,Telfair County
13273,Georgia,Terrell County
13275,Georgia,Thomas County
13277,Georgia,Tift County
13279,Georgia,Toombs County
13281,Georgia,Towns County
13283,Georgia,Treutlen County
13285,Georgia,Troup County
13287,Georgia,Turner County
13289,Georgia,Twiggs County
13291,Georgia,Union County
13293,Georgia,Upson County
13295,Georgia,Walker County
13297,Georgia,Walton County
13299,Georgia,Ware County
13301,Georgia,Warren County
13303,Georgia,Washington County
13305,Georgia,Wayne County
13307,Georgia,Webster County
13309,Georgia,Wheeler County
13311,Georgia,White County
13313,Georgia,Whitfield County
13315,Georgia,Wilcox County
13317,Georgia,Wilkes County
13319,Georgia,Wilkinson County
13321,Georgia,Worth County
